year,UWpre.a,LSTyolk,CSTlarv.s,CSTlatelarv.s,EKE.ms.c,EKEpre.ms.c,PREYpre.her,PREYlarv,PREYlatelarv,PREDpjuv.age.0.csl,PREDpjuv.age.0.atf,logPRED.pjuv.age0.age1.hake,BIpre,NINOpre,NPGOpre_4_9,PDOpre,SPTRpre,BI,NINO4_9,NPGO_4_9,PDO_1_4,PDO_4_9,SPTR,STORM,STORMD,STORMB,CALM
2001,0.392683611,0.01898016,-0.003930393,-0.006181,0.011491421,0.013807553,2906.531427,18575.346,1322.123,49078,61930,2.56409336,-0.54,-0.61,1.85,-0.54,78,1.39,-0.19,1.97,0.26,-0.76,64,11.53401361,4.63376154,35.20810354,0.397959184
2002,0.484528679,0.023769367,-0.002746307,-0.004265294,0.013039821,0.011491421,3325.583072,22269.972,1363.45102,45658,62634,4.108755681,1.39,-0.19,1.97,-0.76,64,0.97,0.65,1.1,-0.28,-0.1,81,9.56462585,4.528409459,54.51738743,1.156462585
2003,0.604482642,-0.00916954,0.00079881,-0.0015191,0.016961868,0.013039821,4145.218176,58078.3,2128.649,36659,62903,0.8413344,0.97,0.65,1.1,-0.1,81,1.39,-0.03,0.94,1.63,0.77,105,11.84353741,3.734131033,40.92774336,0.285714286
2004,0.463452778,0.012366993,-0.003381013,-0.004689173,0.014556658,0.016961868,1874.576529,11618.4,601.21325,43490,64423,4.803724484,1.39,-0.03,0.94,0.77,105,0.21,0.41,0.43,0.52,0.59,89,11.40816327,5.478393262,42.47062277,0.649659864
2005,0.466954302,0.001162963,0.003828813,0.00185151,0.009327821,0.014556658,2416.872633,19296.749,3029.333,48331,64563,1.99634612,0.21,0.41,0.43,0.59,89,0.18,0.08,-1.35,0.91,0.75,106,10.89455782,4.436815679,40.96527373,0.829931973
2006,0.442003774,0.002922733,-0.0031535,-0.005801355,0.013416105,0.009327821,1703.971332,20754.362,3716.748,56144,61938,5.461761001,0.18,0.08,-1.35,0.75,106,1.3,0.11,-0.34,0.54,0.11,108,12.25170068,5.177163643,55.71430225,0.636054422
2007,0.683665741,0.00918214,-0.000339863,-0.002835187,0.01164,0.013416105,3223.714476,18659.461,1000.813294,54088,59087,4.092485251,1.3,0.11,-0.34,0.11,108,-0.45,-0.57,0.96,-0.04,0.18,71,10.3537415,5.840547052,47.11006236,0.959183673
2008,0.439186481,0.00882462,-0.001175643,-0.001230577,0.016281333,0.01164,1015.432976,23715.962,1450.223857,59774,57516,0.882019683,-0.45,-0.57,0.96,0.18,71,0.67,-0.51,1.7,-1,-1.53,36,11.45238095,5.510882329,40.48364715,0.258503401
2009,0.510777925,0.0207874,-0.001598093,-0.001972097,0.011347553,0.016281333,3247.320326,9961.846,631.491,35914,56695,5.457611409,0.67,-0.51,1.7,-1.53,36,1.87,0.32,0.6,-1.55,-0.46,67,10.04081633,7.01614229,39.59004495,1.010204082
2010,0.403893863,-0.00852405,0.004241619,0.001325993,0.016507263,0.011347553,1047.153156,10603.168,1649.840444,33873,54524,4.609551807,1.87,0.32,0.6,-0.46,67,-1.36,-0.74,1.25,0.72,-0.46,99,15.13265306,5.730114189,31.32344307,0.465986395
