"year","H2a","H2b","H3a","H3b","H4","H5","H6","H7a","H7b","H7c","H7d","H8a","H8b","H9","H10a","H10b","H11","H12a","H12b","H13","H14","H15","H16","H17","H18","H19a","H19b","H20","H21a","H21b","H21c","H21d","H22","H24","H25","H26","H27a","H27b","H28","H29a","H29b","H29c","H29d","H30","H33","H34a","H34b","H35a","H35b","H35c","H35d","H36","H46a","H46b","H46c","H46d","H46e","H46f","H47a","H47b","H47c","H47d","H47e","H47f"
1990,7.098,2.098,-1.028,-3.836,7.801,2.801,33.76,-0.009699,-0.01107,-0.002839,0.0002531,-0.004919,0.002571,-0.05316,7.25,5.16,21.23,-0.0105,-0.001176,-0.001184,-0.05316,6.1,0.002883,21.23,0.002883,-0.01144,0.001984,-0.05316,-0.1614,-0.3692,-1.034,-6.135,4.907,0.002818,20.06,0.002818,-0.01352,0.002495,-0.03587,-0.1056,-0.1605,-0.8047,-1.884,4.245,-0.03291,-0.008488,-0.008994,-0.008847,-0.1358,-0.1682,-3.038,7.85,0.06799,0.008854,-0.02801,0.08414,-0.01814,-0.07989,0.00289,0.003905,0.003042,0.003842,0.006432,0.00241
1991,7.408,2.408,-0.6798,-6.929,7.607,2.607,32.29,-0.006894,-0.009466,-0.01539,-0.01104,-0.01983,-0.004493,-0.04392,7.15,5.09,29.51,-0.008995,-0.01346,-0.02326,-0.04392,5.66,-0.01519,25.4,-0.01519,-0.009711,-0.01071,-0.04392,-0.2272,-0.8744,-1.304,-9.294,4.297,-0.01411,19.25,-0.01411,-0.008556,-0.008643,-0.006829,-0.1463,-0.1963,-1.304,-3.22,3.699,-0.05243,-0.01196,-0.01826,0.0258,0.1041,-0.002058,0.1748,6.25,0.04823,-0.0211,-0.04158,0.04276,-0.04405,-0.07069,0.003245,0.003779,0.001227,0.003271,0.005329,0.002516
1992,6.941,1.941,-0.7258,-13.31,8.168,3.168,26.57,-0.001727,-0.007887,-0.008656,-0.01158,0.004833,0.01096,-0.03321,8.48,6.15,24.53,-0.004841,-0.01114,-0.01722,-0.03321,7.02,-0.01388,17.24,-0.01388,-0.004737,-0.01254,-0.03321,-0.5036,-1.025,-0.9965,-5.572,5.46,-0.01235,16.01,-0.01235,-0.004578,-0.004132,-0.02909,-0.2519,-0.3144,-0.2357,-1.346,4.444,-0.01664,-0.009429,-0.012,-0.03866,-0.2447,-0.02912,-2.464,8.73,0.1519,0.09402,0.08092,0.1053,0.01291,-0.00566,0.003389,0.00256,0.004555,0.005725,0.004844,0.003308
1993,7.38,2.38,-0.6348,-1.41,7.791,2.791,28.88,-0.002348,-0.003732,-0.01606,-0.01201,-0.0296,-0.01647,-0.02005,8.15,5.68,26.92,-0.003179,-0.01454,-0.02244,-0.02005,5.8,-0.01539,19.37,-0.01539,-0.004267,-0.008015,-0.02005,-0.67,-1.485,-1.313,-7.164,4.644,-0.01562,16.74,-0.01562,-0.006411,-0.00684,-0.02436,-0.04784,-0.3651,-0.04127,-2.309,3.916,0.009726,-0.00532,-0.01319,-0.04784,-0.3591,-0.04127,-2.115,7.58,0.08205,0.007342,0.03182,0.08931,0.02536,0.02328,0.002708,0.003369,0.00229,0.004757,0.005399,0.001802
1994,7.193,2.193,-0.7052,-5.666,7.663,2.663,34.74,-0.003139,-0.005105,-0.007042,-0.002765,-0.009289,0.006717,-0.01677,8.35,5.73,27.74,-0.005783,-0.003925,-0.001593,-0.01677,6.16,0.007942,21.12,0.007942,-0.01167,-0.0002719,-0.01063,-0.2762,-0.6811,-0.7218,-3.401,4.541,0.01241,20.8,0.01241,-0.01569,0.007788,-0.005127,0.0144,-0.2842,0.1008,-2.597,3.74,-0.01115,-0.00713,-0.01542,0.0144,-0.262,0.003073,-2.839,7.14,0.07906,-0.002551,-0.001008,0.07177,-0.0116,-0.03362,0.003224,0.003796,0.002102,0.004941,0.006827,0.003918
1995,7.058,2.058,-0.419,-0.7683,8.009,3.009,29.04,-0.01082,-0.009306,-0.01002,-0.01132,-0.01055,-0.003015,-0.04102,8.45,6.01,29.04,-0.01013,-0.01055,-0.00464,-0.04102,6.38,-0.002232,20.37,-0.002232,-0.00912,-0.01143,-0.04102,-0.2584,-0.9718,-0.8265,-4.902,4.504,-0.006048,18.01,-0.006048,-0.01148,-0.01111,-0.02452,-0.2584,-1.054,-0.8265,-7.091,3.783,0.001369,-0.01246,-0.01835,-0.2584,0.1045,-0.8265,0.2605,7.32,0.0597,-0.02901,-0.02187,0.07707,0.002926,-0.00716,0.004005,0.004952,0.005352,0.005395,0.004926,0.003794
1996,6.853,1.853,-0.4159,-3.523,7.554,2.554,25.44,-0.01122,-0.01257,-0.01315,-0.007001,-0.02348,-0.007184,-0.06885,7.7,5.2,24.4,-0.01299,-0.01006,-0.01382,-0.06885,5.75,-0.002872,17.33,-0.002872,-0.01095,-0.005886,-0.06885,-0.1106,-0.7735,-0.4239,-5.468,4.555,0.000932,17.41,0.000932,-0.01619,-0.004597,-0.02879,-0.1106,-0.2086,-0.4239,-2.111,3.911,-0.008646,-0.00825,-0.01527,0.03585,-0.1725,0.02329,-1.786,8.24,0.055,0.02301,0.015,0.07514,-0.01036,-0.0369,0.002498,0.004633,0.002468,0.004722,0.004222,0.005517
1997,7.269,2.269,-1.285,-8.688,7.657,2.657,25.43,-0.004095,-0.008023,-0.0116,-0.006635,-0.006773,0.00345,-0.0546,7.26,5.06,23.75,-0.007633,-0.009782,0.001902,-0.0546,5.84,0.007621,16.79,0.007621,-0.01111,0.0008861,-0.02549,-0.001843,-0.3539,-0.243,-5.361,4.807,0.03312,16.99,0.03312,-0.0145,0.003488,0.03496,-0.001843,-0.3052,-0.243,-5.029,4.173,-0.01977,-0.009524,-0.01508,0.06056,-0.01249,0.01104,-0.01645,7.94,0.06105,-0.004247,-0.02288,0.1204,0.03443,0.05855,0.003186,0.004202,0.003332,0.004691,0.004951,0.002451
1998,7.363,2.363,-1.232,-2.968,8.201,3.201,42.25,-0.007461,-0.004297,-0.01972,-0.02065,-0.05859,-0.0345,-0.08173,9.41,6.88,34.1,-0.003192,-0.02457,-0.04764,-0.08173,7.03,-0.03267,19.45,-0.03267,-0.003364,-0.02223,-0.03536,-0.2319,-0.744,-0.1749,-4.228,5.4,-0.02735,16.38,-0.02735,-0.002971,-0.001622,-0.0119,0.02362,-0.5428,-0.03464,-4.471,4.596,-0.03429,-0.01508,-0.01724,0.02362,-0.578,-0.03464,-5.37,8.02,0.0687,0.001821,-0.003373,0.071,0.02837,-0.008865,0.004733,0.007415,0.003608,0.005549,0.004721,0.004888
1999,7.289,2.289,-0.4276,-2.412,7.636,2.636,32.87,-0.005691,-0.01301,-0.005337,-0.005249,-0.02654,-0.007847,-0.01805,6.8,5.18,32.87,-0.009435,-0.005664,-0.01932,-0.01805,5.66,-0.006407,22.14,-0.006407,-0.01458,-0.0001376,-0.01805,-0.06162,-0.5955,-1.03,-9.487,4.636,0.00119,17.99,0.00119,-0.01654,-0.0007512,-0.02476,-0.06162,-0.7196,-1.03,-11.93,3.953,-0.035,-0.009984,-0.0372,0.09598,-0.01219,0.06893,-0.334,6.33,0.0276,-0.05474,-0.07315,0.02751,-0.09481,-0.1383,0.004481,0.006582,0.002286,0.003479,0.006622,0.004878
2000,6.86,1.86,-1.308,-6.799,7.612,2.612,30.93,-0.01152,-0.01095,-0.01124,-0.005694,-0.008161,-0.0007051,-0.05122,6.99,4.998,21.64,-0.01204,-0.009312,-0.003224,-0.05122,5.5,-5.87e-05,21.64,-5.87e-05,-0.01447,-0.005097,-0.05122,-0.1741,-0.678,-0.4934,-8.068,4.5,-0.002783,15.26,-0.002783,-0.0151,-0.002614,-0.02695,-0.1741,-0.6763,-0.4934,-8.387,3.937,-0.08156,-0.01256,-0.02005,-0.1741,-0.2323,-0.4934,-2.328,7.36,0.03258,-0.007216,-0.05563,0.04879,-0.0149,-0.02842,0.004723,0.005199,0.002245,0.004148,0.004654,0.00152
2001,6.915,1.915,-0.6119,-3.325,7.596,2.596,33.41,-0.00245,-0.005456,-0.01032,-0.003793,-0.002071,0.00443,-0.03143,7.15,5.07,33.41,-0.004388,-0.007436,0.0008705,-0.03143,5.78,0.008698,17.43,0.008698,-0.007227,-0.002727,-0.01637,-0.2851,-1.009,-2.394,-14.85,4.624,0.007593,17.93,0.007593,-0.008842,-0.0008285,-0.02339,-0.2619,-0.7777,-1.562,-9.34,3.932,-0.03944,-0.007612,-0.01701,-0.01685,0.06094,-0.006779,0.3114,6.63,0.03597,-0.03764,-0.06056,0.05287,-0.03291,-0.06996,0.002193,0.003971,0.002072,0.003907,0.005661,0.002905
2002,6.633,1.633,-0.8327,-10.01,7.395,2.395,36.41,-0.008508,-0.009939,-0.009958,-0.005639,1.7e-05,0.006512,-0.009221,7.07,4.997,31.99,-0.01029,-0.00777,0.005551,-0.02914,5.95,0.006879,29.27,0.006879,-0.007394,-0.0001842,-0.02914,-0.03343,-0.09251,-0.4619,-1.8,4.596,0.01298,22.65,0.01298,-0.008396,0.005133,0.01372,-0.03343,-0.1198,-0.4619,-2.232,3.931,-0.05652,-0.008175,-0.02268,0.01605,-0.07255,0.03893,-0.1461,6.72,0.06289,-0.005599,-0.06996,0.05756,-0.04252,-0.1169,0.002308,0.003597,0.001507,0.00509,0.005612,0.006668
2003,6.649,1.649,-0.7658,-11.51,7.543,2.543,38.68,-0.01165,-0.005271,-0.01972,-0.01458,-0.05027,-0.04463,-0.1046,7.83,5.38,27.82,-0.009804,-0.01638,-0.04636,-0.1046,5.87,-0.04413,26.35,-0.04413,-0.003437,-0.01438,-0.1046,-0.3562,-0.6797,-0.7756,-6.346,4.624,-0.01438,19.7,-0.01438,-0.01098,-0.007029,-0.0007062,-0.1255,-0.5095,-0.7756,-4.676,3.989,-0.02812,-0.01077,-0.02041,0.07194,-0.2604,0.09949,-3.052,7.07,0.02644,-0.01581,0.002495,0.04399,-0.02624,-0.08073,0.004694,0.006233,0.002322,0.004513,0.008558,0.002696
2004,6.886,1.886,-1.464,-9.442,7.566,2.566,31.57,-0.008594,-0.00761,-0.01233,-0.007236,-0.0156,0.001603,-0.05356,7.41,5.07,27.85,-0.008697,-0.00961,-0.004544,-0.05356,6.08,0.009058,23.43,0.009058,-0.007598,-0.003502,-0.05356,-0.007011,-0.477,-0.1281,-4.425,4.866,0.01298,20.89,0.01298,-0.01135,-0.0002326,-0.01248,0.07103,0.1718,0.2016,1.558,4.186,-0.03078,-0.01024,-0.01763,0.07103,-0.1966,0.03932,-1.529,7.95,0.071,0.01404,0.007785,0.08215,-0.0009313,-0.01737,0.003668,0.005908,0.003168,0.004415,0.005341,0.003101
2005,7.344,2.344,-0.5173,-5.005,7.736,2.736,32.1,0.0003753,-0.00466,-0.01883,-0.01619,-0.03591,-0.02052,-0.08286,8.55,5.82,25.84,-0.001579,-0.01768,-0.02705,-0.08286,6.35,-0.0187,24.12,-0.0187,-0.0002796,-0.01534,-0.07479,-0.5058,-0.974,-0.8214,-4.714,5,-0.01193,21.38,-0.01193,-0.003744,-0.009684,0.002141,0.1294,-0.2516,0.2193,-2.642,4.117,-0.009003,-0.01036,-0.01728,-0.05479,-0.2682,-0.1046,-3.029,7.72,0.05474,0.001618,-0.008947,0.07775,-0.0165,-0.024,0.001918,0.002214,0.001938,0.008971,0.004489,0.002035
2006,7.486,2.486,-1.143,-2.552,7.381,2.381,33.85,-0.008185,-0.009375,-0.02125,-0.01358,-0.03236,-0.02258,-0.06188,7.14,4.839,24.93,-0.00983,-0.01775,-0.02507,-0.06188,5.88,-0.007969,17.59,-0.007969,-0.009847,-0.001868,-0.06188,-0.1115,-0.6901,-0.7101,-6.541,4.635,-0.0004998,17.72,-0.0004998,-0.009461,0.003883,-0.02878,-0.1115,-0.4,-0.7101,-3.647,3.983,-0.01913,-0.009079,-0.02665,-0.02796,-0.3921,-0.3252,-4.057,7.59,0.0194,0.004973,-0.0301,0.0718,0.005851,-0.06201,0.004952,0.005544,0.002877,0.004954,0.004691,0.005789
2007,7.275,2.275,-0.6092,-3.845,7.657,2.657,43.1,-0.000898,-0.002888,-0.008776,-0.004338,-0.01731,-0.007836,-0.05594,7.76,5.37,37.77,-0.001594,-0.007316,-0.01219,-0.05594,5.91,-0.007215,22.23,-0.007215,-0.006562,-0.004239,-0.05594,-0.168,-0.4604,-1.061,-4.077,4.652,0.008513,21.2,0.008513,-0.009725,0.005094,-0.002356,-0.168,-0.1011,-1.061,-2.463,4.019,-0.0005187,-0.009689,-0.01791,-0.07488,-0.2339,-0.08561,-2.585,6.64,0.02719,-0.04767,-0.04404,0.03837,-0.03613,-0.07312,0.001869,0.005362,0.00319,0.004117,0.005195,0.00358
2008,6.814,1.814,-0.8603,-4.295,7.296,2.296,36.21,-0.002493,-0.007494,-0.02265,-0.01525,-0.02555,-0.007357,-0.07325,6.74,4.805,33.76,-0.004536,-0.02432,-0.01549,-0.07325,5.62,-0.005951,24.17,-0.005951,-0.007823,-0.01105,-0.07325,0.07435,-0.6252,0.2897,-13.47,4.472,-0.007802,21.82,-0.007802,-0.004925,-0.004438,-0.01263,0.01144,-0.5732,-0.06612,-12.7,3.752,-0.02229,-0.01292,-0.02767,0.01144,-0.6723,-0.06612,-15.67,6.41,0.0001485,-0.07705,-0.1164,0.02789,-0.06706,-0.1271,0.00341,0.004283,0.0028,0.00517,0.005116,0.006155
2009,6.646,1.646,-0.7377,-4.647,7.741,2.741,34.78,-0.008668,-0.008706,-0.01481,-0.002447,-0.0126,0.00399,-0.06068,7.33,5.33,30.01,-0.009592,-0.005751,-0.006544,-0.06068,5.76,0.001862,23.18,0.001862,-0.00881,-0.00155,-0.01932,-0.2475,-0.5335,-1.116,-9.213,4.742,0.004716,16.49,0.004716,-0.007543,-0.0005646,-0.006701,0.007976,-0.4469,-0.2021,-8.713,4.018,-0.02756,-0.01086,-0.02228,0.007976,-0.3653,0.05076,-7.398,6.84,0.04987,-0.05901,-0.09149,0.06453,-0.04017,-0.08461,0.002568,0.005195,0.001979,0.004232,0.005243,0.00403
2010,6.47,1.47,-0.7398,-10.95,7.641,2.641,40.27,-0.009482,-0.00515,-0.019,-0.01041,-0.03493,-0.02246,-0.07312,8.17,5.65,37.03,-0.007425,-0.01479,-0.0318,-0.07312,6.39,-0.0192,29.45,-0.0192,-0.0001252,-0.009734,-0.06756,-0.08296,-0.2075,-0.4404,-0.9011,4.525,-0.009929,22.68,-0.009929,-0.00816,-0.006697,-0.008686,-0.08296,0.1657,-0.4404,1.614,3.785,-0.005851,-0.01379,-0.02053,0.004038,-0.1231,0.007805,-1.577,6.33,0.05739,0.0001632,-0.02348,0.04621,-0.02857,-0.06753,0.004581,0.007789,0.004143,0.003662,0.008326,0.004613
