"year","H2a","H2b","H3a","H3b","H4","H5","H6","H7a","H7b","H7c","H7d","H8a","H8b","H9","H10a","H10b","H11","H12a","H12b","H13","H14","H15","H16","H17","H18","H19a","H19b","H20","H21a","H21b","H21c","H21d","H22","H24","H25","H26","H27a","H27b","H28","H29a","H29b","H29c","H29d","H30","H33","H34a","H34b","H35a","H35b","H35c","H35d","H36","H46a","H46b","H46c","H46d","H46e","H46f","H47a","H47b","H47c","H47d","H47e","H47f"
1990,7.417,2.417,0.3987,1.949,7.888,2.888,40.345,-0.00472,-0.0060545,0.007844,0.008683,0.01515,0.018215,0.0129,7.64,5.435,37.455,-0.0042495,0.008223,0.01785,0.01489,6.375,0.024025,31.105,0.024025,-0.0032835,0.009803,0.023815,0.3252,0.5446,1.0439,5.8215,5.1,0.02519,24.21,0.02519,-0.003624,0.01015,0.05448,0.3551,0.5573,0.866,6.408,4.374,0.027585,-0.0012735,0.0018615,0.35675,0.5167,0.2441,1.3525,9.495,0.1036,0.05241,0.05787,0.1358,0.070495,0.050585,0.004777,0.0073955,0.00657,0.01036,0.0098055,0.0079585
1991,7.6425,2.6425,0.32205,0.7904,7.7145,2.7145,42.385,-0.001893,-0.006418,-9.65e-05,0.001713,0.017015,0.01835,-0.01916,8.275,5.605,40.88,-0.003293,0.0023235,0.017525,-0.010953,6.665,0.01391,32.53,0.01391,-0.003897,0.004314,0.010556,0.4329,0.66885,2.178,10.66,4.9835,0.0237,30.955,0.0237,-0.0042495,0.012025,0.03742,0.4438,0.7309,2.2025,13.045,4.0335,0.01359,0.001729,0.000679,0.2815,0.5568,0.49225,4.0675,8.28,0.1316,0.084655,0.065435,0.1205,0.064915,0.0316,0.0050585,0.0074115,0.005304,0.006707,0.01139,0.0091465
1992,7.244,2.244,0.44625,2.1965,8.235,3.235,44.26,0.0006276,-0.002672,-0.001306,-0.001265,0.02771,0.0257,0.008055,9.05,6.31,38.555,-0.00025235,-0.0020025,0.024215,0.0101925,7.66,0.01204,27.72,0.01204,-0.00073475,-0.001738,0.015845,0.25685,0.25055,0.27765,1.086,6.015,0.01519,23.71,0.01519,0.001952,0.000222,0.04087,0.3971,0.5136,0.3449,1.884,4.787,0.05003,0.0008312,0.002506,0.3509,0.5562,0.1891,1.398,9.41,0.20485,0.1762,0.1779,0.1433,0.08198,0.06146,0.0062665,0.010455,0.0101845,0.009728,0.007456,0.01257
1993,8.001,3.001,0.3746,0.8973,8.004,3.004,39.145,0.005005,0.001608,-0.00093775,-7.44e-05,0.012035,0.01371,0.0114325,8.935,6.085,36.94,0.006854,-0.00034025,0.011255,0.02031,7.405,0.01322,30.485,0.01322,0.0052255,0.006725,0.05155,0.44125,0.4444,0.7734,3.033,5.425,0.0249,27.06,0.0249,0.003868,0.01408,0.06798,0.5113,0.6181,0.7108,3.302,4.134,0.04649,0.0014785,0.0046385,0.2959,0.525,0.16395,2.08,9.71,0.1554,0.131,0.123,0.17095,0.08717,0.060835,0.005646,0.01174,0.01345,0.0089585,0.0099895,0.0096755
1994,7.5005,2.5005,0.2262,0.60235,7.8225,2.8225,43.67,0.00273,-0.001887,0.0061515,0.0021335,0.0091895,0.016465,0.026855,9.015,6.135,40.555,7.87e-05,0.0066125,0.01403,0.03084,7.595,0.027665,34.03,0.027665,-0.0024755,0.013905,0.03484,0.30365,0.66295,0.91985,6.8995,5.235,0.042155,28.345,0.042155,-0.0070905,0.016405,0.039475,0.31645,0.84295,0.94715,9.6935,4.0895,0.036275,0.0007505,0.0032675,0.2704,0.60465,0.26865,4.305,9.18,0.12685,0.09128,0.093325,0.1642,0.06708,0.04461,0.005441,0.0085455,0.006345,0.01029,0.01131,0.0076565
1995,7.489,2.489,0.3604,0.85895,8.158,3.158,35.82,-0.003975,-0.004459,0.0102,0.001997,0.01877,0.01935,0.01568,8.9,6.33,35.42,-0.0038615,0.004438,0.01839,0.02234,7.545,0.0176,32.9,0.0176,-0.002669,0.00098195,0.0047945,0.19625,0.5558,0.51965,3.886,5.8,0.018685,27.505,0.018685,-0.002668,0.0029545,0.024825,0.2902,0.6594,0.83555,6.249,4.296,0.04258,-0.0024965,0.002621,0.3014,0.7183,0.31255,3.2165,8.82,0.1614,0.1548,0.1803,0.1234,0.06165,0.04488,0.008244,0.012205,0.01838,0.0079645,0.011355,0.0072665
1996,7.317,2.317,0.3347,0.5302,7.68,2.68,34.17,-0.006219,-0.00722,-0.005262,-0.001406,-0.01007,0.004191,-0.003266,8.27,5.51,32.44,-0.006612,0.00076,-0.003204,0.01319,6.74,0.008358,28.85,0.008358,-0.004977,0.0033385,0.027265,0.29325,0.68205,0.7071,4.009,5.17,0.01369,24.65,0.01369,-0.00495,0.004444,0.02213,0.3678,0.8403,0.7378,6.333,4.053,0.024055,-0.00091595,-0.0017715,0.2828,0.696,0.2076,5.1115,8.875,0.08722,0.08448,0.1128,0.1329,0.05588,0.029095,0.007332,0.01175,0.01112,0.009044,0.008605,0.010835
1997,7.5275,2.5275,0.4199,1.6535,7.7375,2.7375,36.94,0.0006072,-0.0035725,0.0030625,0.0071885,0.003318,0.0159,0.02359,7.855,5.37,34.8,-0.001463,0.005568,0.02326,0.04119,6.405,0.043695,29.505,0.043695,-0.006201,0.011925,0.05506,0.30845,0.88835,0.7744,8.3445,5.03,0.05607,24.59,0.05607,-0.0090025,0.014285,0.06471,0.28825,0.73145,0.49015,5.608,4.411,0.037075,-0.001919,0.0025715,0.2469,0.48725,0.1861,1.469,9.63,0.09749,0.039295,0.067385,0.19825,0.1226,0.11445,0.005167,0.013105,0.008849,0.0078,0.0085475,0.00661
1998,7.8905,2.8905,0.25505,0.21115,8.623,3.623,57.14,0.003202,0.00209,-0.001737,-0.001458,-0.01949,-0.01076,0.00947,10.34,7.61,55.43,0.004807,0.001643,-0.016735,0.01819,9.2,-0.004804,48.25,-0.004804,0.003985,0.007923,0.045645,0.4222,0.8559,0.65675,3.556,6.72,0.017495,30.335,0.017495,0.0027645,0.011985,0.03822,0.4222,0.61205,0.62395,3.2525,4.8555,0.011485,0.0006825,0.0010465,0.3217,0.532,0.24975,2.0055,9.46,0.14025,0.11085,0.1364,0.1369,0.057115,0.029475,0.009105,0.01328,0.015185,0.011285,0.0091465,0.01255
1999,7.766,2.766,0.4139,1.443,7.726,2.726,46.11,0.001662,-0.006968,0.00897,0.007018,-0.004439,0.00981,0.01808,7.91,5.56,43.975,-0.0030325,0.0086215,0.0059975,0.029145,6.72,0.01753,42.945,0.01753,-0.009943,0.01033,0.05541,0.4307,0.6292,2.454,8.7055,5.021,0.02908,37.03,0.02908,-0.01178,0.009552,0.03673,0.4256,0.8123,1.75,15.14,4.187,0.01831,-0.001421,0.0003264,0.4256,0.6052,0.5461,4.558,8.83,0.05437,0.019785,0.06464,0.1079,0.04262,-0.002342,0.007602,0.01206,0.0168,0.006763,0.01133,0.009056
2000,7.102,2.102,0.4784,2.678,7.6705,2.6705,36.975,-0.006862,-0.0082175,-0.0043085,-0.00076595,0.011275,0.01546,-0.015985,7.45,5.22,35.255,-0.0068985,-0.001462,0.01479,-0.005969,6.105,0.01582,30.93,0.01582,-0.009211,0.0008942,0.0001024,0.304,0.7867,1.316,10.07,4.796,0.022225,25.63,0.022225,-0.0089885,0.0043235,-0.004097,0.37355,0.99985,1.2875,12.505,4.0985,-0.009933,-0.00033455,-0.001575,0.38035,0.7415,0.30865,4.511,9.235,0.08003,0.046265,0.08059,0.1378,0.05348,0.02499,0.0071095,0.015955,0.008434,0.0081115,0.013865,0.009941
