year,TEMPpre,DDpre,UWpre.a,UWpre.b,TEMPspawn,DDspawn,MLDegg,CSTegg.s.s,CSTegg.s.d,CSTegg.n.s,CSTegg.n.d,ASTegg.s,ASTegg.d,PUegg,DDegg.s,DDegg.d,MLDyolk,CSTyolk.s,CSTyolk.n,ASTyolk,PUyolk,DDyolk,ASTlarv.zp,MLDlarv,ASTlarv,CSTlarv.s,CSTlarv.n,PUlarv,UWlarv.cs,UWlarv.cn,UWlarv.bs,UWlarv.bn,DDlarv,ASTlatelarv.zp,MLDlatelarv,ASTlatelarv,CSTlatelarv.s,CSTlatelarv.n,PUlatelarv,UWlatelarv.cs,UWlatelarv.cn,UWlatelarv.bs,UWlatelarv.bn,DDlatelarv,ASTpjuv.age.0,CSTpjuv.age.0.s,CSTpjuv.age.0.n,UWpjuv.age.0.cs,UWpjuv.age.0.cn,UWpjuv.age.0.bs,UWpjuv.age.0.bn,DDpjuv.age.0,SSH.ja.s,SSH.ja.c,SSH.ja.n,SSH.ms.s,SSH.ms.c,SSH.ms.n,EKE.ja.s,EKE.ja.c,EKE.ja.n,EKE.ms.s,EKE.ms.c,EKE.ms.n
1990,7.444358491,129.551,0.355726792,2.341996226,7.903909091,63.886,41.00318182,-0.004165705,-0.006023955,0.009149305,0.008965732,0.014758177,0.019264545,0.009506227,170.95,119.95,36.712,-0.001794303,0.0089684,0.0167072,0.012975233,191.58,0.022844733,33.285,0.022844733,-0.00221552,0.011305567,0.0274593,0.3422114,0.589027033,1.298195333,7.698463,153.251,0.029635419,28.66129032,0.029635419,-0.002522248,0.014260452,0.052049516,0.349425903,0.612491581,0.994254839,7.552812581,135.65,0.025936763,-0.000953934,0.001476016,0.367174816,0.532179211,0.425325789,3.616207105,348.81,0.106192333,0.054552333,0.060295213,0.128296842,0.057752711,0.044185474,0.0048663,0.0090562,0.0101538,0.010324316,0.010666158,0.010472
1991,7.633574074,142.213,0.358349074,2.131985741,7.706772727,59.549,42.39318182,-0.001637986,-0.005819445,0.000718568,0.002893768,0.013326273,0.018485091,-0.008206318,178.83,121.95,39.645,-0.00284663,0.003178053,0.011515547,-0.003466667,196.41,0.013402167,34.86366667,0.013402167,-0.00412613,0.008926603,0.007955267,0.472786667,0.838463333,2.465633333,13.53036667,147.931,0.022919157,30.306,0.022919157,-0.003962647,0.013513977,0.033645667,0.490061333,0.895306,2.56698,15.09928667,121.674,0.009392474,-3.71E-05,-0.000665745,0.359187105,0.61515,1.299306368,8.466213158,307.29,0.116491333,0.065096267,0.064163067,0.108948947,0.044638921,0.0225855,0.005700367,0.010647,0.0108783,0.006431526,0.012436579,0.012583474
1992,7.344240741,126.589,0.457303519,3.753262407,8.251347826,74.781,41.36956522,0.001610122,-0.002966761,0.002700843,0.000668309,0.031527043,0.029027391,0.007860048,206.95,145.37,37.796,0.001042623,0.000425063,0.023315367,0.011592703,228.18,0.010149917,30.30366667,0.010149917,0.001121923,-0.001634893,0.019236537,0.251557333,0.306933467,0.274947,1.185699333,177.49,0.014873294,24.59064516,0.014873294,0.001200848,0.003888465,0.038588165,0.351196452,0.483533548,0.387474516,2.148797742,150.916,0.044807179,-0.000144874,0.001933192,0.355359744,0.556154872,0.258722564,2.195713333,385.92,0.202173333,0.167470667,0.181510667,0.154146154,0.077135128,0.06095,0.006920367,0.014005933,0.016741033,0.010583821,0.008428487,0.01413041
1993,8.048754717,161.584,0.369244151,1.035219434,7.973590909,65.419,39.62590909,0.004924727,0.002341,0.000624464,-0.000205123,0.005825318,0.010164909,0.012447273,194.29,132.79,36.894,0.00547235,0.00079641,0.007512833,0.028271667,214.49,0.014179917,31.44666667,0.014179917,0.003668363,0.008742303,0.045702067,0.408379667,0.497617333,0.96499,4.78974,159.169,0.027262513,26.35677419,0.027262513,0.000998268,0.012621339,0.055149484,0.470772903,0.701267097,1.00818871,5.810154839,133.08,0.051272,0.001206191,0.005213721,0.313945,0.558636579,0.344388421,3.176671053,364.3,0.141527667,0.118403733,0.129073333,0.162791579,0.082962895,0.068510789,0.006315933,0.012842667,0.0151347,0.008608395,0.011061868,0.009590895
1994,7.515166667,135.819,0.257245963,0.479169074,7.819181818,62.022,43.08454545,0.002396732,-0.001892668,0.006718332,0.004641277,0.010727805,0.0197685,0.024695827,198.21,134.45,39.738,-0.000133563,0.008734483,0.0161592,0.031352273,219.42,0.0311004,35.05933333,0.0311004,-0.004341713,0.014636693,0.0351888,0.307199833,0.647146667,1.094331,5.79057,159.622,0.042318,29.23833333,0.042318,-0.007462257,0.0170765,0.040736233,0.346275,0.870006667,1.201953333,9.343333333,126.567,0.035084158,0.000542655,0.002748205,0.302629474,0.684376316,0.527466132,6.343849474,345.44,0.125317667,0.082683133,0.088775533,0.144303158,0.0541473,0.038989316,0.006257667,0.0093497,0.0093916,0.010017895,0.012720684,0.008598184
1995,7.474833333,133.641,0.389507815,1.601786296,8.145086957,72.337,38.62521739,-0.003931448,-0.004575965,0.010714439,0.003624752,0.021096783,0.023776043,0.015051287,203.93,145.23,38.01866667,-0.00363609,0.006647667,0.02076281,0.024275987,225,0.015903533,31.47066667,0.015903533,-0.00260054,0.002095233,0.011512953,0.242886333,0.528530667,0.851858,5.316999333,168.825,0.018229973,28.368,0.018229973,-0.003346437,0.002952315,0.029527433,0.328098733,0.691053,1.14535,7.626866667,134.027,0.040193658,-0.002682471,0.002207758,0.315921842,0.716615789,0.61877,5.070786842,339.46,0.142930333,0.1319111,0.171646467,0.127299737,0.054626474,0.037828442,0.009074033,0.021927533,0.027383667,0.008799789,0.011163947,0.008365842
1996,7.401056604,127.256,0.351960085,1.541557849,7.673826087,61.498,34.04173913,-0.006101043,-0.007276913,-0.002714504,-0.000223517,-0.0100473,0.003992122,-0.003700696,191.03,127.29,32.59032258,-0.00626559,-0.000153161,-0.001346097,0.01264271,207.05,0.01047899,28.26666667,0.01047899,-0.005102,0.0021139,0.025447767,0.3640663,0.595723333,0.952193333,5.188443333,151.436,0.017610452,25.72032258,0.017610452,-0.006823774,0.003892816,0.019782048,0.391887097,0.79617129,0.931367097,8.956489677,130.319,0.024276132,-0.000573166,-0.000932655,0.307280263,0.690730526,0.370466316,7.576378947,350.36,0.08836,0.076775484,0.106589355,0.129582895,0.046688161,0.025837316,0.007580387,0.012425419,0.01435429,0.009087211,0.010188132,0.012312395
1997,7.505925926,135.32,0.35486587,1.607163148,7.737,60.214,35.57954545,0.000179545,-0.004324409,0.003530068,0.006956664,0.010684627,0.021529591,0.0254015,173.49,118.87,33.59,-0.002472093,0.00528341,0.023213433,0.033676433,193.74,0.042892833,28.64666667,0.042892833,-0.0059418,0.012867603,0.051418333,0.3899409,0.873153667,1.177348,10.15599667,151.953,0.054009667,25.35733333,0.054009667,-0.008999367,0.014388933,0.065738333,0.3815009,0.7842942,0.806911333,8.591272,134.227,0.038831071,-0.001169918,0.001944789,0.304560526,0.554048545,0.253591842,3.177790711,392.11,0.094811,0.0545682,0.07855013,0.202668421,0.124786316,0.121140263,0.005267567,0.0138292,0.012740867,0.008340342,0.009658658,0.009079868
1998,7.950796296,159.343,0.219967593,0.671905111,8.616782609,83.186,57.02347826,0.003244652,0.001537361,-0.004068139,-0.004163983,-0.023690652,-0.011092822,0.000249783,242.66,177.98,54.267,0.004599487,-0.000825557,-0.018423633,0.017472167,273.7,-0.00233612,44.15233333,-0.00233612,0.00338662,0.0050668,0.041581,0.440274,0.813889667,0.819025333,4.362614333,196.9,0.012571787,34.761,0.012571787,0.002430073,0.011188843,0.0354717,0.465927333,0.739479,0.851322,4.32814,153.746,0.009444092,0.000235103,0.001337613,0.353748684,0.582109211,0.387298421,2.687931579,373.09,0.150938333,0.1358397,0.168510733,0.133908684,0.061780526,0.031541405,0.008979933,0.0171176,0.023708033,0.010949342,0.010516684,0.0124545
1999,7.787641509,147.745,0.399707358,1.672467547,7.728391304,62.753,46.8926087,0.003234281,-0.00562807,0.008620213,0.005891291,-0.004997939,0.007453261,0.021907696,178.98,128.45,45.79833333,-0.001650423,0.007730137,0.002909477,0.034283233,198.44,0.01741847,43.02433333,0.01741847,-0.009985067,0.010967317,0.0433459,0.422555033,0.89841,2.745534333,15.2931,154.198,0.026937129,35.03967742,0.026937129,-0.011787516,0.009053961,0.033581355,0.407665516,1.008096452,2.407559032,17.82549032,130.873,0.014114867,-0.001859095,-0.002159626,0.416461026,0.682801282,0.878250769,8.947062821,336.1,0.052653,0.01822095,0.0561147,0.101181538,0.019531821,-0.012121103,0.007671267,0.013728867,0.0195814,0.006664128,0.013674359,0.010879744
2000,7.163037736,114.641,0.489571887,4.397788868,7.690909091,59.2,36.81090909,-0.006499264,-0.007943591,-0.002826105,0.000413527,0.010803782,0.016669859,-0.006114209,165.87,116.398,33.98533333,-0.007212367,-0.00050658,0.01503756,0.00620748,185.68,0.018828752,30.41483871,0.018828752,-0.008562516,0.002232087,0.010078206,0.385493226,0.744677742,1.651883871,9.444,151.035,0.022087133,26.54966667,0.022087133,-0.0087635,0.00545012,0.012368733,0.437696333,0.834521333,1.575554,10.63641667,123.226,-0.011693289,-0.000126445,-0.002572108,0.408155737,0.697422105,0.562356474,6.295292105,349.54,0.074360667,0.0555741,0.078395667,0.124889737,0.047120668,0.023693868,0.007281,0.015603433,0.012240833,0.008132684,0.013807553,0.009802158
2001,7.274944444,122.847,0.392683611,2.084346296,7.687130435,61.804,41.01434783,0.001703191,-0.001579423,0.004721774,0.004539239,0.015462252,0.022176913,0.014398913,176.03,122.6,40.86,-0.000505998,0.004268673,0.01898016,0.020832267,190.31,0.026420667,35.97633333,0.026420667,-0.003930393,0.006369517,0.027418267,0.346434367,0.752496667,2.181786333,10.613,148.402,0.0281271,30.39866667,0.0281271,-0.006181,0.0068767,0.0257292,0.399375267,0.937460667,2.096848333,12.69929,125.538,0.013961868,-0.000533434,-0.002640597,0.355904737,0.855440789,0.481583184,8.582826316,332.29,0.083554667,0.045096633,0.052677787,0.108654474,0.024997142,-0.007075566,0.004239933,0.012995333,0.009058633,0.007761053,0.011491421,0.013329184
2002,6.850716981,98.088,0.484528679,4.194950377,7.464565217,56.685,44.44608696,0.001297204,-0.004176024,0.000608652,0.003533791,0.015615261,0.021997478,0.031839578,176.88,119.817,42.82833333,-0.000779513,0.004502823,0.023769367,0.028683343,191.51,0.0315003,38.88666667,0.0315003,-0.002746307,0.008493393,0.0318709,0.567508667,0.762074767,3.493966667,11.03862,145.023,0.035569677,34.75580645,0.035569677,-0.004265294,0.010397,0.053120323,0.602752258,1.033090323,3.384155806,14.96490323,126.992,0.009236259,0.000304743,-0.002917918,0.483893846,0.866251282,1.419025897,9.96841,333.19,0.090584,0.053312263,0.060974667,0.102116154,0.029157551,-0.00939831,0.004484167,0.0106473,0.0112823,0.007476077,0.013039821,0.013087333
2003,7.012962264,106.687,0.604482642,6.639269811,7.884090909,63.45,45.54,-0.001505068,0.000522523,-0.007029786,-0.004904018,-0.022924773,-0.012258818,-0.022308718,198.87,133.92,42.28733333,-6.96E-05,-0.003186613,-0.00916954,-0.009703857,215.94,0.0028659,38.32133333,0.0028659,0.00079881,0.001428807,0.005159777,0.513050667,0.913294333,2.335564667,9.134146667,156.886,0.018608268,33.50193548,0.018608268,-0.0015191,0.00730129,0.035834316,0.574194839,1.042336935,2.562072258,11.34457968,130.88,0.017392263,-0.001268489,-0.000588421,0.528816842,0.894531579,1.080852368,7.557728947,345.43,0.082432667,0.065578667,0.101526833,0.108017105,0.035327842,0.006473447,0.006755967,0.0143577,0.014693467,0.009072105,0.016961868,0.015042605
2004,7.271203704,122.645,0.463452778,2.599866667,7.712913043,62.397,43.91434783,4.44E-05,-0.0018065,0.000150513,0.001573796,0.001703022,0.016090391,-0.008032822,191.88,128.88,40.854,-0.001282637,0.001370753,0.012366993,0.003855837,204.52,0.024143367,34.93533333,0.024143367,-0.003381013,0.004703487,0.020840837,0.642232967,0.81232,2.031123333,9.2698,154.2,0.029285333,29.96033333,0.029285333,-0.004689173,0.006698357,0.044932233,0.664374333,1.1015,1.95724,13.12086667,130.171,0.024942921,-0.001824263,-4.52E-06,0.603839211,0.855905526,0.907897632,7.275433947,359.47,0.107558667,0.086185,0.114097167,0.131576579,0.054904334,0.042129834,0.0060043,0.014324067,0.0118857,0.007475632,0.014556658,0.010069711
2005,7.543566038,134.809,0.466954302,1.377318302,7.936652174,67.543,43.10869565,0.008417322,0.002011052,-0.005211991,-0.005812326,-0.005452043,0.00378327,-0.011800478,208.45,144.43,41.03133333,0.00696453,-0.00308581,0.001162963,0.0058743,225.07,0.008919333,35.16266667,0.008919333,0.003828813,0.000418833,0.0275543,0.539349667,0.687175667,1.725061,5.953211333,167.44,0.023050081,30.05903226,0.023050081,0.00185151,0.006691803,0.046762258,0.702867742,0.940976645,2.056722581,8.572864516,139.201,0.041063846,-0.001329705,0.001018372,0.539578462,0.797514615,0.912931026,6.044760769,347.51,0.125873667,0.1033706,0.1050476,0.115260256,0.044649,0.029235985,0.006078433,0.012870267,0.0105228,0.012665051,0.009327821,0.012954744
2006,7.743490566,145.405,0.442003774,1.847235849,7.549909091,56.098,40.89772727,0.002749186,-0.0017694,-0.0030351,0.003348309,-0.011506136,0.002300727,0.009306727,169.18,112.849,37.48366667,-0.00104453,0.00287217,0.002922733,0.016672033,186.91,0.018403067,33.379,0.018403067,-0.0031535,0.011133533,0.0221262,0.3917057,0.75898212,1.970293667,7.13614,143.821,0.031391942,29.20225806,0.031391942,-0.005801355,0.012155097,0.035992258,0.476853258,0.829481806,1.810916129,7.950732258,129.621,0.021402518,-0.001703761,-0.001500384,0.507192132,0.831893947,0.702993947,6.744289474,356.7,0.063861333,0.070995,0.1016299,0.119818421,0.051003974,0.015236289,0.006515167,0.0148016,0.020715133,0.008078421,0.013416105,0.014645132
2007,7.60462963,140.65,0.683665741,4.548464815,7.905272727,63.916,50.80409091,0.003585923,0.000439832,0.003195482,0.004420091,0.003580418,0.011174091,-0.014934727,185.25,127.55,48.42233333,0.002390387,0.006735563,0.00918214,-0.0007648,207.05,0.019555933,41.368,0.019555933,-0.000339863,0.009541657,0.018352333,0.6272072,0.962742667,3.301367333,13.90196667,154.358,0.032317133,35.46766667,0.032317133,-0.002835187,0.014801833,0.047404533,0.637010533,1.056357,3.175870667,15.81316667,127.586,0.036345824,-0.001828416,-0.000486853,0.571602526,0.816645263,1.262790263,7.764310526,340.68,0.079137667,0.034452293,0.042361867,0.103350789,0.030297239,0.001897913,0.004616633,0.014116833,0.0079796,0.008869737,0.01164,0.012666816
2008,7.347055556,126.741,0.439186481,3.141037778,7.529043478,58.168,47.65695652,0.002693278,-0.001761717,-0.009512774,-0.00261643,0.002928304,0.012058587,-0.013680939,172.97,121.055,45.82966667,0.00127215,-0.001196933,0.00882462,-0.003184053,190.24,0.0212162,41.35933333,0.0212162,-0.001175643,0.007658857,0.015451833,0.677578333,1.157407667,4.74728,21.1279,145.793,0.033127577,35.20580645,0.033127577,-0.001230577,0.011604619,0.046272419,0.700548065,1.249246774,4.41751871,23.38848387,124.613,0.006907551,-0.000732051,-0.00280726,0.44032641,0.768404872,1.203662051,10.76451051,354.77,0.05445665,0.017932067,0.028850333,0.118742821,0.039636128,-0.009240897,0.006346233,0.01475,0.009728833,0.009638744,0.016281333,0.016444256
2009,6.981471698,105.018,0.510777925,6.05418283,7.835545455,62.382,45.86363636,-0.002049345,-0.004153541,0.004098591,0.006171655,0.0203225,0.028191136,0.002739409,174.48,123.61,43.67066667,-0.00146537,0.00469153,0.0207874,0.0143077,197.36,0.027545167,38.78733333,0.027545167,-0.001598093,0.008153847,0.0284616,0.4319632,0.694140667,2.438668,11.46006333,154.324,0.028630677,32.32258065,0.028630677,-0.001972097,0.010618284,0.040065258,0.499573097,0.824827097,2.380351613,13.09110968,133.623,0.005600853,2.72E-05,8.36E-05,0.429058842,0.641654474,0.735315526,5.592691316,352.26,0.095698,0.048882367,0.0471681,0.119990526,0.052139763,0.018533976,0.005294367,0.0172233,0.012047667,0.007527263,0.011347553,0.012718289
2010,6.977074074,106.762,0.403893863,4.247903426,7.960409091,65.129,52.61681818,0.002405055,0.002090323,-0.006211027,-0.003270795,-0.013956955,-0.002663045,-0.012012273,201.23,140.46,49.497,0.004295223,0.00153189,-0.00852405,0.000490233,230.63,0.006735933,44.23933333,0.006735933,0.004241619,0.008039,0.027935067,0.598783,0.89082,2.67898,10.43851667,165.508,0.024590133,36.94533333,0.024590133,0.001325993,0.015555933,0.051808867,0.640294333,1.133776667,3.209696667,14.9132,127.996,0.04808785,0.000298932,0.000422274,0.534511263,0.832607105,1.962600132,11.37448789,305.69,0.118942667,0.112594107,0.158815667,0.104027895,0.031269289,0.002082605,0.008561767,0.0166828,0.0214751,0.008981132,0.016507263,0.014082026
